ID	PercChange_ActNoCorr/Ingreso	PercChange_CostoOperacion/Ingreso	PercChange_GastoAdmin/Ingreso	PercChange_NPersonal/Ingreso	PercChange_Liquidez	PercChange_ROA	PercChange_ROE	Whealth_Creation
2013-2015_LA POSITIVA SEGUROS Y REASEGUROS S.A.A.	-22.23	-38.72	23.17	-24.14	-11.00	43.62	36.54	0
2013-2015_LECHE GLORIA S.A.	17.95	3.21	1.72	-5.43	4.99	-57.25	-47.60	0
2013-2015_LUZ DEL SUR S.A.A.	-8.81	1.67	-12.47	-11.54	14.71	8.08	12.66	0
2013-2015_MAPFRE PERÚ VIDA COMPAÑÍA DE SEGUROS Y REASEGUROS	-16.14	-29.43	-7.30	-11.66	0.74	-7.84	-7.59	0
2013-2015_MINSUR S.A.	18.46	6.87	14.60	79.03	88.22	-100.00	-100.00	0
2013-2015_NEXA RESOURCES PERU S.A.A. (ANTES COMPAÑÍA MINERA MILPO S.A.A.)	22.24	16.51	-12.38		30.22	-47.56		0
2013-2015_PERU HOLDING DE TURISMO S.A.A.	-25.90		-15.85		6312.26			1
2013-2015_QUIMPAC S.A.	12.46	3.83	-19.47	240.62	-6.59	-5.43	-13.51	0
2013-2015_REFINERIA LA PAMPILLA S.A.A. - RELAPA S.A.A.	134.83	-5.12	90.59	8.49	-53.03			0
2013-2015_RIMAC SEGUROS Y REASEGUROS	35.92	17.09	17.41		-43.01	16.30	39.26	0
2013-2015_SAGA FALABELLA S.A.	15.57	0.57	-0.44	-12.81	-19.30	-7.58	-2.37	0
2013-2015_SCOTIABANK PERU S.A.A.	26.54	-8.32	1.96	-10.04		-14.42	-4.76	0
2013-2015_TELEFONICA DEL PERU S.A.A.	-1.77		3.23	-8.60	-13.40	-100.00	-100.00	0
2013-2015_UNIÓN ANDINA DE CEMENTOS S.A.A. -UNACEM S.A.A.					26.96			0
2013-2015_UNION DE CERVECERIAS PERUANAS BACKUS Y JOHNSTON S.A.A.	-4.05	0.75	12.37		-4.75	14.88	19.16	1
2013-2015_VOLCAN COMPAÑIA MINERA S.A.A.	33.21	22.64	13.27	42.77	-11.00	-100.00	-100.00	0
2013-2016_AGRO INDUSTRIAL PARAMONGA S.A.A.	-29.47	-17.93	-3.77	3.39	-38.95			1
2013-2016_AGROKASA HOLDINGS S.A.	-51.62	0.47	-18.20	-19.23	-81.13	179.57	150.84	0
2013-2016_ALICORP S.A.A.	-8.74	-3.93	24.12	-5.50	-43.68	-21.30	-24.84	0
2013-2016_ANDINO INVESTMENT HOLDING S.A.A.	-10.47	8.66	28.79	18.93	-88.66			0
2013-2016_AUSTRAL GROUP S.A.A.	57.96	4.62	35.15	-42.29	-5.25			0
2013-2016_BANCO DE CREDITO DEL PERU	12.79	-12.43	-3.19	-29.67	49.28	38.53	7.17	0
2013-2016_BANCO PICHINCHA (ANTES BANCO FINANCIERO DEL PERU)	-7.53	-2.34	-2.38	-45.29	-14.29	-59.57	-63.20	1
2013-2016_BBVA BANCO CONTINENTAL	0.57	16.64	-2.66		7563.29	-26.17	-28.18	0
2013-2016_CEMENTOS PACASMAYO S.A.A.	42.70	2.79	-7.47	-17.33	-58.23	-30.47	-24.76	1
2013-2016_CERVECERIA SAN JUAN S.A.	-10.84	0.58	79.13	-1.80	-22.99	-26.66	-17.78	1
2013-2016_CINEPLEX S.A.	-11.52	-4.09	-14.91	52.92	-37.31	65.29	117.41	1
2013-2016_COMPAÑÍA DE MINAS BUENAVENTURA S.A.A.	12.95	-2.42	26.82	-100.00	-48.39			0
2013-2016_COMPAÑÍA MINERA SAN IGNACIO DE MOROCOCHA S.A.A.	-36.05	-50.65	-36.07	-78.37	-59.06			1
2013-2016_CONSORCIO CEMENTERO DEL SUR S.A. - CONCESUR S.A.	21.40	9.27	-14.14	-57.90	101.59	-42.83	-36.68	0
2013-2016_CORPORACION ACEROS AREQUIPA S.A.	-6.14	2.15	5.99	-36.97	53.06	364.09	281.30	0
2013-2016_CORPORACION CERVESUR S.A.A.	-28.11	-2.91	-11.08	-4.13	-62.40			0
2013-2016_CORPORACIÓN FINANCIERA DE INVERSIONES S.A.	-28.07	-16.66	-24.84	167.84	23.34	-56.43	-56.73	0
2013-2016_CORPORACION LINDLEY S.A.	-1.34	-6.16	-19.56	-21.82	-45.03			0
2013-2016_CREDICORP CAPITAL PERÚ S.A.A.	54.51	1.32	14.17	-100.00	4495.97	108.41	98.99	0
2013-2016_CREDITEX S.A.A.	13.39	-0.13	15.49	-35.52	-22.51	-91.93	-94.09	0
2013-2016_DIVISO GRUPO FINANCIERO S.A.	40.47	-8.35	32.03		174.62	-100.00	-100.00	0
2013-2016_ELECTRO DUNAS S.A.A.	-29.52	-7.28	-14.66	29.83	-42.63	-21.45	4.00	0
2013-2016_EMPRESA EDITORA EL COMERCIO S.A.	12.28	22.12	8.31		-47.17	-56.17	-55.94	0
2013-2016_ENEL GENERACIÓN PERÚ S.A.A.	-39.53	14.67	-4.39		35.00	-43.87	-47.75	0
2013-2016_EXSA S.A.	-0.32	10.09	37.22		1.45	-82.20	-82.11	0
2013-2016_FALABELLA PERÚ S.A.A.	72.01	0.60	0.00		-99.82	-9.55	-17.32	0
2013-2016_FERREYCORP S.A.A.	23.68	-2.91	41.24	-18.10	-8.45	114.04	88.06	0
2013-2016_FUTURA CONSORCIO INMOBILIARIO S.A.	704.15	-86.34	45.31		292.98	-100.00	-100.00	0
2013-2016_GR HOLDING S.A.	19.19	1.38	-9.74	-35.42	141.07	-8.33	-13.80	0
2013-2016_GRAÑA Y MONTERO S.A.A.	88.49	9.42	1.89	8.70	-37.58	-100.00	-100.00	0
2013-2016_INRETAIL PERÚ CORP.	-2.72	-3.44	-14.77		869.33	272.46	319.88	1
2013-2016_INTERCORP FINANCIAL SERVICES INC.	-22.49	-4.01	9.23			-28.54	-32.63	0
2013-2016_INTRADEVCO INDUSTRIAL S.A.	-13.70	-4.25	9.51		11.11	307.07	305.07	0
2013-2016_INVERSIONES CENTENARIO S.A.A.	-18.04	18.66	-40.81	-10.11	384.13	-58.36	-66.35	0
2013-2016_INVERSIONES NACIONALES DE TURISMO S.A. - INTURSA	-28.76	-10.06	-15.86	4.60	40.24			0
2013-2016_LA POSITIVA SEGUROS Y REASEGUROS S.A.A.	7.86	-34.61	29.91	-41.23	-1.93	62.92	41.74	0
2013-2016_LECHE GLORIA S.A.	16.02	2.69	-2.79	3.08	3.35	-67.71	-60.26	0
2013-2016_LUZ DEL SUR S.A.A.	7.57	0.95	10.09	-41.99	-13.55	-17.71	-18.19	0
2013-2016_MAPFRE PERÚ VIDA COMPAÑÍA DE SEGUROS Y REASEGUROS	-15.39	-21.31	-11.27	-44.14	70.28	11.87	-2.78	0
2013-2016_MINSUR S.A.	32.86	-2.72	12.26	80.58	57.07	-26.12	-14.38	1
2013-2016_NEXA RESOURCES PERU S.A.A. (ANTES COMPAÑÍA MINERA MILPO S.A.A.)	8.57	0.23	-17.03		24.81	61.72		1
2013-2016_PERU HOLDING DE TURISMO S.A.A.	-34.80		19.64		-45.45			1
2013-2016_QUIMPAC S.A.	11.56	5.85	-12.86	228.39	-12.30	-14.40	-22.09	0
2013-2016_REFINERIA LA PAMPILLA S.A.A. - RELAPA S.A.A.	200.83	-7.75	106.75	-5.22	-28.57			1
2013-2016_RIMAC SEGUROS Y REASEGUROS	46.91	27.30	24.44		-4.21	10.27	14.19	0
2013-2016_SAGA FALABELLA S.A.	50.06	0.51	4.83	-5.47	-26.05	-19.78	-8.60	1
2013-2016_SCOTIABANK PERU S.A.A.	9.57	15.71	-15.34	-18.48		1.60	-5.15	0
2013-2016_TELEFONICA DEL PERU S.A.A.	12.84		8.45	-22.60	-20.64	-6.47	-5.07	0
2013-2016_UNIÓN ANDINA DE CEMENTOS S.A.A. -UNACEM S.A.A.					1.54			0
2013-2016_UNION DE CERVECERIAS PERUANAS BACKUS Y JOHNSTON S.A.A.	-10.84	0.58	79.13		-15.68	-26.66	-17.78	1
2013-2016_VOLCAN COMPAÑIA MINERA S.A.A.	35.62	3.95	2.79	25.59	-1.93	-47.20	-35.97	1
2013-2017_AGRO INDUSTRIAL PARAMONGA S.A.A.	-27.55	-23.55	-17.50	1.56	-27.99			0
2013-2017_AGROKASA HOLDINGS S.A.	-51.79	3.85	-8.65	-30.82	-71.87	151.20	114.04	1
2013-2017_ALICORP S.A.A.	-16.63	-6.39	38.57	-100.00	-32.40	1.75	0.24	0
2013-2017_ANDINO INVESTMENT HOLDING S.A.A.	-8.96	12.30	-4.46	29.33	1.84			1
2013-2017_AUSTRAL GROUP S.A.A.	30.35	9.63	14.69	-35.03	332.57			1
2013-2017_BANCO DE CREDITO DEL PERU	11.44	-11.82	-2.64	-36.65	29.53	30.36	-1.37	1
2013-2017_BANCO PICHINCHA (ANTES BANCO FINANCIERO DEL PERU)	-13.54	-4.34	-2.10	-51.16	-16.22	-69.59	-75.91	1
2013-2017_BBVA BANCO CONTINENTAL	3.52	11.25	-2.31		4596.22	-21.41	-32.00	1
2013-2017_CEMENTOS PACASMAYO S.A.A.	34.89	3.51	-5.29	10.56	-67.00	-41.40	-29.38	1
2013-2017_CERVECERIA SAN JUAN S.A.	-19.94	-4.54	-1.91	-16.75	122.07	5.21	38.56	1
2013-2017_CINEPLEX S.A.	-15.60	-3.99	-5.34	34.23	836.82	55.35	93.69	1
2013-2017_COMPAÑÍA DE MINAS BUENAVENTURA S.A.A.	-8.63	-2.76	8.84	235.66	170.08			1
2013-2017_COMPAÑÍA MINERA SAN IGNACIO DE MOROCOCHA S.A.A.	-58.27	-57.20	-25.91	-81.87	121.11			1
2013-2017_CONSORCIO CEMENTERO DEL SUR S.A. - CONCESUR S.A.	21.54	15.23	1.83	-51.34	886.04	-58.94	-54.82	1
2013-2017_CORPORACION ACEROS AREQUIPA S.A.	-20.11	4.77	-11.76	-41.80	-22.34	479.75	384.71	1
2013-2017_CORPORACION CERVESUR S.A.A.	-25.94	0.59	-18.28	-13.55	-6.61			0
2013-2017_CORPORACIÓN FINANCIERA DE INVERSIONES S.A.	-17.58	-18.52	-17.04	169.77	-89.87	-39.53	-33.43	1
2013-2017_CORPORACION LINDLEY S.A.	-2.66	-7.87	-24.97	-30.03	279.30			1
2013-2017_CREDICORP CAPITAL PERÚ S.A.A.	28.11	0.91	7.07	-100.00	-86.88	137.86	178.16	1
2013-2017_CREDITEX S.A.A.	3.67	1.31	8.90	-31.25	-72.98	33.05	-2.55	1
2013-2017_DIVISO GRUPO FINANCIERO S.A.	17.43	-1.22	14.35		-91.44	-100.00	-100.00	1
2013-2017_ELECTRO DUNAS S.A.A.	-26.45	-6.65	-9.70	33.44	306.65	-22.32	7.65	1
2013-2017_EMPRESA EDITORA EL COMERCIO S.A.	29.57	28.05	26.86		241.93	-93.22	-93.10	1
2013-2017_ENEL GENERACIÓN PERÚ S.A.A.	-41.32	14.90	-19.43		167.89	0.66	-14.74	1
2013-2017_EXSA S.A.	26.90	9.24	46.80		-15.36	-79.19	-81.02	1
2013-2017_FALABELLA PERÚ S.A.A.	62.19	0.66	6.36		-99.78	-48.08	-56.25	1
2013-2017_FERREYCORP S.A.A.	18.77	-2.58	45.26	-26.39	-67.97	143.98	100.57	1
2013-2017_FUTURA CONSORCIO INMOBILIARIO S.A.	734.46	-87.97	64.05		24.63	-54.08	-62.26	1
2013-2017_GR HOLDING S.A.	30.17	-3.03	-3.51	-43.15	-44.71	11.40	-3.97	1
2013-2017_GRAÑA Y MONTERO S.A.A.	94.26	6.94	16.43	17.34	-44.67	-63.06	-37.38	1
2013-2017_INRETAIL PERÚ CORP.	-5.43	-2.97	-13.76		991.00	274.50	312.95	0
2013-2017_INTERCORP FINANCIAL SERVICES INC.	27.16	2.41	10.89			-38.70	-42.03	1
2013-2017_INTRADEVCO INDUSTRIAL S.A.	5.70	-0.32	17.15		-51.88	226.18	204.18	1
2013-2017_INVERSIONES CENTENARIO S.A.A.	-18.02	37.79	-38.96	-15.40	790.00	-62.71	-70.40	1
2013-2017_INVERSIONES NACIONALES DE TURISMO S.A. - INTURSA	38.61	-10.99	14.84	-23.60	412.49			0
2013-2017_LA POSITIVA SEGUROS Y REASEGUROS S.A.A.	12.38	-23.75	38.08	-62.03	165.27	92.20	49.91	1
2013-2017_LECHE GLORIA S.A.	26.56	-1.97	10.46	1.64	-5.81	-60.88	-52.27	0
2013-2017_LUZ DEL SUR S.A.A.	19.57	-1.79	-3.86	-44.84	1137.70	-10.42	-11.09	1
2013-2017_MAPFRE PERÚ VIDA COMPAÑÍA DE SEGUROS Y REASEGUROS	-25.94	-28.09	-0.92	-56.52	227.54	36.10	-6.33	1
2013-2017_MINSUR S.A.	28.22	-2.95	18.49	73.51	-17.88	-35.52	-22.14	1
2013-2017_NEXA RESOURCES PERU S.A.A. (ANTES COMPAÑÍA MINERA MILPO S.A.A.)	-20.69	-12.12	-53.84		-80.02	178.06		1
2013-2017_PERU HOLDING DE TURISMO S.A.A.	-29.01		-20.25		4994.16			1
2013-2017_QUIMPAC S.A.	-1.64	3.01	-29.26	199.74	155.98	24.78	11.28	1
2013-2017_REFINERIA LA PAMPILLA S.A.A. - RELAPA S.A.A.	156.99	-6.08	75.88	-17.10	-14.60			1
2013-2017_RIMAC SEGUROS Y REASEGUROS	54.40	31.64	28.86		35.32	-71.41	-69.79	1
2013-2017_SAGA FALABELLA S.A.	29.88	0.70	12.46	5.85	-31.48	-23.30	-8.28	1
2013-2017_SCOTIABANK PERU S.A.A.	9.77	14.08	-18.04	-27.84		1.49	-12.97	1
2013-2017_TELEFONICA DEL PERU S.A.A.	20.76		22.91	-21.21	548.04	-100.00	-100.00	1
2013-2017_UNIÓN ANDINA DE CEMENTOS S.A.A. -UNACEM S.A.A.					527.45			1
2013-2017_UNION DE CERVECERIAS PERUANAS BACKUS Y JOHNSTON S.A.A.	-19.94	-4.54	-1.91		83.41	5.21	38.56	1
2013-2017_VOLCAN COMPAÑIA MINERA S.A.A.	21.12	-2.91	2.04	150.04	261.47	-100.00	-100.00	1
2014-2015_AGRO INDUSTRIAL PARAMONGA S.A.A.	-16.54	-19.70	-2.20	6.28	-30.88	353.72	390.53	1
2014-2015_AGROKASA HOLDINGS S.A.	-1.13	-11.59	3.64	-14.58	-9.26	221.27	202.16	0
2014-2015_ALICORP S.A.A.	-11.07	-1.56	1.72	-5.71	-8.48	1337.61	1133.71	0
2014-2015_ANDINO INVESTMENT HOLDING S.A.A.	-1.94	1.00	10.50	-0.71	-59.31	-100.00	-100.00	0
2014-2015_AUSTRAL GROUP S.A.A.	18.32	-9.64	16.86	-14.71	58.64			0
2014-2015_BANCO DE CREDITO DEL PERU	13.24	-3.85	-4.54	-19.27	22.08	25.64	21.10	0
2014-2015_BANCO PICHINCHA (ANTES BANCO FINANCIERO DEL PERU)	12.25	-4.46	-1.32	-22.35	-1.19	-13.23	-5.77	0
2014-2015_BBVA BANCO CONTINENTAL	3.00	17.74	6.31	-11.32	-19.24	-20.83	-8.99	0
2014-2015_CEMENTOS PACASMAYO S.A.A.	27.44	-3.02	-2.31	5.32	-43.42	6.44	13.46	0
2014-2015_CERVECERIA SAN JUAN S.A.	-4.68	0.03	-3.10	-4.34	67.16	16.94	21.43	1
2014-2015_CINEPLEX S.A.	-17.94	-0.22	-18.91	7.67	-30.38	47.90	51.56	1
2014-2015_COMPAÑÍA DE MINAS BUENAVENTURA S.A.A.	23.79	23.82	5.72	12.50	-51.15			0
2014-2015_COMPAÑÍA MINERA SAN IGNACIO DE MOROCOCHA S.A.A.	-48.65	-23.37	-44.35	93.61	-58.65			1
2014-2015_CONSORCIO CEMENTERO DEL SUR S.A. - CONCESUR S.A.	-22.12	7.07	-14.43	-35.50	-56.97	-63.58	-68.37	0
2014-2015_CORPORACION ACEROS AREQUIPA S.A.	2.06	-3.75	9.05	-26.26	37.05	34.96	20.38	0
2014-2015_CORPORACION CERVESUR S.A.A.	2.83	-3.45	8.50	6.91	-85.97	-26.71	-15.70	0
2014-2015_CORPORACIÓN FINANCIERA DE INVERSIONES S.A.	-7.75	0.81	2.71	-26.69	-58.00	33.40	33.30	1
2014-2015_CORPORACION LINDLEY S.A.	-5.63	-5.39	-4.60	9.50	7.81	-100.00	-100.00	1
2014-2015_CREDICORP CAPITAL PERÚ S.A.A.	-17.11	2.53	-16.97	-9.80	557.75	41.17	39.25	0
2014-2015_CREDITEX S.A.A.	14.03	-1.52	12.47	-7.41	-32.49	-38.08	-34.43	1
2014-2015_DIVISO GRUPO FINANCIERO S.A.	-48.40	30.79	-43.98		-49.17	-100.00	-100.00	0
2014-2015_ELECTRO DUNAS S.A.A.	-11.40	-0.07	-4.33	15.61	-4.01	-4.23	5.23	0
2014-2015_EMPRESA EDITORA EL COMERCIO S.A.	5.32	8.51	-1.20	-3.27	-19.84	-45.67	-44.06	0
2014-2015_ENEL GENERACIÓN PERÚ S.A.A.	-3.22	0.15	62.48	-1.68	-27.42	-99.00	-14.76	0
2014-2015_EXSA S.A.	-14.51	-0.17	47.20		46.75	-100.00	-100.00	0
2014-2015_FALABELLA PERÚ S.A.A.	-5.11	-0.39	1.28		-99.30	11.20	14.67	0
2014-2015_FERREYCORP S.A.A.	2.16	-2.27	2.30	-5.35	-42.09	67.66	65.66	0
2014-2015_FUTURA CONSORCIO INMOBILIARIO S.A.	-3.24	-2.60	6.55		-31.15	-100.00	-100.00	0
2014-2015_GR HOLDING S.A.	9.72	1.29	1.24	-7.01	-15.79	-28.43	-17.32	0
2014-2015_GRAÑA Y MONTERO S.A.A.	7.67	5.33	-12.21	-38.06	-23.10	-66.27	-60.88	0
